,Protein_product,Replicon_Name,Replicon_Accession,Start,Stop,Strand,Gene,GeneID,Length,Protein_name,Sequence_Length,Sequence_Description,Annotation_GO_ID,Enzyme_Code,Enzyme_Name
23,XP_022286069.1,5,NC_035784.1,95882037,95928282,+,111099040,LOC111099040,704,basic proline-rich protein-like isoform X9,2115,basic proline-rich protein-like isoform X9,GO:0003674,,
24,XP_022286070.1,5,NC_035784.1,95882037,95928282,+,111099040,LOC111099040,703,vegetative cell wall protein gp1-like isoform X10,2112,vegetative cell wall protein gp1-like isoform X10,GO:0003674,,
25,XP_022286071.1,5,NC_035784.1,95882037,95928282,+,111099040,LOC111099040,702,B-cell linker protein-like isoform X11,2109,B-cell linker protein-like isoform X11,GO:0003674,,
26,XP_022286072.1,5,NC_035784.1,95882037,95928282,+,111099040,LOC111099040,695,pollen-specific leucine-rich repeat extensin-like protein 1 isoform X12,2088,pollen-specific leucine-rich repeat extensin-like protein 1 isoform X12,GO:0003674,,
27,XP_022286073.1,5,NC_035784.1,95882037,95928282,+,111099040,LOC111099040,693,cell surface glycoprotein 1-like isoform X13,2082,cell surface glycoprotein 1-like isoform X13,GO:0003674,,
28,XP_022286074.1,5,NC_035784.1,95882037,95928282,+,111099040,LOC111099040,689,lymphocyte cytosolic protein 2-like isoform X14,2070,lymphocyte cytosolic protein 2-like isoform X14,GO:0003674,,
29,XP_022286075.1,5,NC_035784.1,95882037,95928282,+,111099040,LOC111099040,688,pollen-specific leucine-rich repeat extensin-like protein 1 isoform X15,2067,pollen-specific leucine-rich repeat extensin-like protein 1 isoform X15,GO:0003674,,
30,XP_022286076.1,5,NC_035784.1,95882037,95928282,+,111099040,LOC111099040,685,basic proline-rich protein-like isoform X16,2058,basic proline-rich protein-like isoform X16,GO:0003674,,
31,XP_022286077.1,5,NC_035784.1,95882037,95928282,+,111099040,LOC111099040,682,lymphocyte cytosolic protein 2-like isoform X17,2049,lymphocyte cytosolic protein 2-like isoform X17,GO:0003674,,
32,XP_022286078.1,5,NC_035784.1,95882037,95928282,+,111099040,LOC111099040,682,vegetative cell wall protein gp1-like isoform X18,2049,vegetative cell wall protein gp1-like isoform X18,GO:0003674,,
33,XP_022286079.1,1,NC_035780.1,5972764,5975423,-,111099041,LOC111099041,543,proton-coupled folate transporter-like,1632,proton-coupled folate transporter-like,GO:0005575;GO:0055085,,
34,XP_022286080.1,5,NC_035784.1,95882037,95928282,+,111099040,LOC111099040,682,pollen-specific leucine-rich repeat extensin-like protein 1 isoform X19,2049,pollen-specific leucine-rich repeat extensin-like protein 1 isoform X19,GO:0003674,,
35,XP_022286081.1,5,NC_035784.1,95882037,95928282,+,111099040,LOC111099040,674,basic proline-rich protein-like isoform X20,2025,basic proline-rich protein-like isoform X20,GO:0003674,,
36,XP_022286082.1,5,NC_035784.1,95882037,95928282,+,111099040,LOC111099040,664,basic proline-rich protein-like isoform X21,1995,basic proline-rich protein-like isoform X21,GO:0003674,,
37,XP_022286083.1,5,NC_035784.1,95882037,95928282,+,111099040,LOC111099040,656,pollen-specific leucine-rich repeat extensin-like protein 1 isoform X22,1971,pollen-specific leucine-rich repeat extensin-like protein 1 isoform X22,GO:0003674,,
38,XP_022286084.1,5,NC_035784.1,95882037,95928282,+,111099040,LOC111099040,652,cell surface glycoprotein 1-like isoform X23,1959,cell surface glycoprotein 1-like isoform X23,GO:0003674,,
39,XP_022286085.1,5,NC_035784.1,95892559,95928282,+,111099040,LOC111099040,652,cell surface glycoprotein 1-like isoform X24,1959,cell surface glycoprotein 1-like isoform X24,,,
40,XP_022286086.1,5,NC_035784.1,95900631,95928282,+,111099040,LOC111099040,634,basic proline-rich protein-like isoform X25,1905,basic proline-rich protein-like isoform X25,,,
41,XP_022286087.1,5,NC_035784.1,86219306,86272331,-,111099043,LOC111099043,958,cyclic nucleotide-gated channel rod photoreceptor subunit alpha-like,2877,cyclic nucleotide-gated channel rod photoreceptor subunit alpha-like,GO:0005575;GO:0022857,,
42,XP_022286088.1,5,NC_035784.1,86219306,86272331,-,111099043,LOC111099043,958,cyclic nucleotide-gated channel rod photoreceptor subunit alpha-like,2877,cyclic nucleotide-gated channel rod photoreceptor subunit alpha-like,GO:0005575;GO:0022857,,
43,XP_022286089.1,5,NC_035784.1,31957485,31964078,+,111099045,LOC111099045,594,uncharacterized aarF domain-containing protein kinase 5-like isoform X1,1785,uncharacterized aarF domain-containing protein kinase 5-like isoform X1,,,
44,XP_022286090.1,1,NC_035780.1,5980350,5981589,+,111099044,LOC111099044,228,homeobox protein Hox-A9-like,687,homeobox protein Hox-A9-like,GO:0003677;GO:0009058;GO:0034641,,
45,XP_022286091.1,5,NC_035784.1,31957485,31964078,+,111099045,LOC111099045,583,uncharacterized aarF domain-containing protein kinase 5-like isoform X2,1752,uncharacterized aarF domain-containing protein kinase 5-like isoform X2,,,
46,XP_022286092.1,5,NC_035784.1,31919857,31946834,-,111099047,LOC111099047,540,"b(0,+)-type amino acid transporter 1-like isoform X1",1623,b(0%2C+)-type amino acid transporter 1-like isoform X1,GO:0005575;GO:0022857,,
47,XP_022286093.1,5,NC_035784.1,31919857,31930110,-,111099047,LOC111099047,537,"b(0,+)-type amino acid transporter 1-like isoform X2",1614,b(0%2C+)-type amino acid transporter 1-like isoform X2,GO:0005575;GO:0022857,,
48,XP_022286094.1,5,NC_035784.1,31919857,31930568,-,111099047,LOC111099047,534,"b(0,+)-type amino acid transporter 1-like isoform X3",1605,b(0%2C+)-type amino acid transporter 1-like isoform X3,GO:0005575;GO:0022857,,
49,XP_022286095.1,5,NC_035784.1,31919857,31930568,-,111099047,LOC111099047,534,"b(0,+)-type amino acid transporter 1-like isoform X3",1605,b(0%2C+)-type amino acid transporter 1-like isoform X3,GO:0005575;GO:0022857,,
50,XP_022286096.1,5,NC_035784.1,31919857,31930568,-,111099047,LOC111099047,534,"b(0,+)-type amino acid transporter 1-like isoform X3",1605,b(0%2C+)-type amino acid transporter 1-like isoform X3,GO:0005575;GO:0022857,,
51,XP_022286097.1,5,NC_035784.1,31919857,31930568,-,111099047,LOC111099047,534,"b(0,+)-type amino acid transporter 1-like isoform X3",1605,b(0%2C+)-type amino acid transporter 1-like isoform X3,GO:0005575;GO:0022857,,
52,XP_022286098.1,5,NC_035784.1,31919857,31929008,-,111099047,LOC111099047,515,"b(0,+)-type amino acid transporter 1-like isoform X4",1548,b(0%2C+)-type amino acid transporter 1-like isoform X4,GO:0005575;GO:0022857,,
53,XP_022286099.1,5,NC_035784.1,31950260,31951469,+,111099048,LOC111099048,183,apolipoprotein D-like,552,apolipoprotein D-like,GO:0003674,,
54,XP_022286100.1,5,NC_035784.1,17101680,17109918,+,111099050,LOC111099050,574,amyloid protein-binding protein 2-like,1725,amyloid protein-binding protein 2-like,GO:0003674,,
55,XP_022286101.1,5,NC_035784.1,6223853,6226026,-,111099052,LOC111099052,565,cysteine sulfinic acid decarboxylase-like,1698,cysteine sulfinic acid decarboxylase-like,GO:0016829;GO:0043167;GO:0044281,,
56,XP_022286102.1,5,NC_035784.1,43424806,43428237,+,111099053,LOC111099053,319,eukaryotic translation initiation factor 2 subunit 2-like,960,eukaryotic translation initiation factor 2 subunit 2-like,GO:0005840;GO:0008135,,
57,XP_022286103.1,1,NC_035780.1,27097346,27098200,-,111099049,LOC111099049,136,temptin-like isoform X1,411,temptin-like isoform X1,,,
58,XP_022286104.1,5,NC_035784.1,85541922,85543358,-,111099054,LOC111099054,478,uncharacterized protein LOC111099054,1437,uncharacterized protein LOC111099054,GO:0003674,,
59,XP_022286105.1,5,NC_035784.1,6159061,6172970,-,111099055,LOC111099055,1164,atrial natriuretic peptide receptor 2-like,3495,atrial natriuretic peptide receptor 2-like,GO:0006464;GO:0007165;GO:0009058;GO:0016301;GO:0016829;GO:0034641;GO:0043167;GO:0044281,,
60,XP_022286106.1,5,NC_035784.1,10569667,10585126,-,111099056,LOC111099056,616,tRNA (uracil-5-)-methyltransferase homolog A-like,1851,tRNA (uracil-5-)-methyltransferase homolog A-like,GO:0008168;GO:0034641,,
61,XP_022286107.1,5,NC_035784.1,10569667,10585126,-,111099056,LOC111099056,616,tRNA (uracil-5-)-methyltransferase homolog A-like,1851,tRNA (uracil-5-)-methyltransferase homolog A-like,GO:0008168;GO:0034641,,
62,XP_022286108.1,5,NC_035784.1,10569667,10585126,-,111099056,LOC111099056,616,tRNA (uracil-5-)-methyltransferase homolog A-like,1851,tRNA (uracil-5-)-methyltransferase homolog A-like,GO:0008168;GO:0034641,,
63,XP_022286109.1,5,NC_035784.1,10599946,10600344,+,111099057,LOC111099057,132,uncharacterized protein LOC111099057,399,uncharacterized protein LOC111099057,GO:0003674;GO:0005576;GO:0007165,,
64,XP_022286110.1,5,NC_035784.1,56921787,56925052,+,111099058,LOC111099058,350,G-protein coupled receptor 157-like,1053,G-protein coupled receptor 157-like,GO:0003674;GO:0005575;GO:0007165,,
65,XP_022286111.1,1,NC_035780.1,27094163,27098200,-,111099049,LOC111099049,182,temptin-like isoform X2,549,temptin-like isoform X2,,,
66,XP_022286112.1,5,NC_035784.1,56925976,56929422,-,111099059,LOC111099059,344,G-protein coupled receptor 157-like,1035,G-protein coupled receptor 157-like,GO:0003674;GO:0005575;GO:0007165,,
67,XP_022286113.1,5,NC_035784.1,56925976,56929422,-,111099059,LOC111099059,344,G-protein coupled receptor 157-like,1035,G-protein coupled receptor 157-like,GO:0003674;GO:0005575;GO:0007165,,
68,XP_022286114.1,5,NC_035784.1,56925976,56929422,-,111099059,LOC111099059,344,G-protein coupled receptor 157-like,1035,G-protein coupled receptor 157-like,GO:0003674;GO:0005575;GO:0007165,,
69,XP_022286115.1,5,NC_035784.1,70482616,70498037,-,111099060,LOC111099060,487,uncharacterized protein LOC111099060 isoform X1,1464,uncharacterized protein LOC111099060 isoform X1,,,
70,XP_022286116.1,5,NC_035784.1,70482616,70495172,-,111099060,LOC111099060,403,uncharacterized protein LOC111099060 isoform X2,1212,uncharacterized protein LOC111099060 isoform X2,,,
71,XP_022286117.1,5,NC_035784.1,28197539,28200655,+,111099061,LOC111099061,336,uncharacterized protein LOC111099061,1011,uncharacterized protein LOC111099061,,,
72,XP_022286118.1,5,NC_035784.1,6187847,6195786,+,111099062,LOC111099062,470,MAP kinase-activated protein kinase 5-like,1413,MAP kinase-activated protein kinase 5-like,GO:0006464;GO:0016301;GO:0043167,,
73,XP_022286119.1,5,NC_035784.1,2253503,2264177,-,111099063,LOC111099063,522,peptidyl-prolyl cis-trans isomerase-like 2,1569,peptidyl-prolyl cis-trans isomerase-like 2,GO:0006457;GO:0006464;GO:0016853,EC:5.2.1.8,Peptidylprolyl isomerase
74,XP_022286120.1,5,NC_035784.1,83463045,83464882,+,111099066,LOC111099066,280,uncharacterized protein LOC111099066,843,uncharacterized protein LOC111099066,GO:0008168,,
75,XP_022286121.1,5,NC_035784.1,83463045,83464882,+,111099066,LOC111099066,280,uncharacterized protein LOC111099066,843,uncharacterized protein LOC111099066,GO:0008168,,
76,XP_022286122.1,1,NC_035780.1,14091904,14098034,+,111099064,LOC111099064,370,poly(U)-specific endoribonuclease-like,1113,poly(U)-specific endoribonuclease-like,GO:0002376;GO:0004518;GO:0007165,,
77,XP_022286123.1,5,NC_035784.1,7340714,7348960,-,111099067,LOC111099067,824,LOW QUALITY PROTEIN: pre-rRNA processing protein FTSJ3-like,2472,LOW QUALITY PROTEIN: pre-rRNA processing protein FTSJ3-like,GO:0005634;GO:0008168;GO:0034641;GO:0042254,,
78,XP_022286124.1,5,NC_035784.1,27226773,27231948,-,111099068,LOC111099068,541,protein unc-93 homolog A-like isoform X1,1626,protein unc-93 homolog A-like isoform X1,,,
79,XP_022286125.1,5,NC_035784.1,27226773,27230883,-,111099068,LOC111099068,186,protein unc-93 homolog A-like isoform X2,561,protein unc-93 homolog A-like isoform X2,,,
80,XP_022286126.1,5,NC_035784.1,34272869,34277962,+,111099069,LOC111099069,419,low-density lipoprotein receptor-related protein 2-like,1260,low-density lipoprotein receptor-related protein 2-like,GO:0003674,,
81,XP_022286127.1,5,NC_035784.1,88441343,88447831,-,111099070,LOC111099070,528,solute carrier family 22 member 4-like,1587,solute carrier family 22 member 4-like,GO:0005575;GO:0022857,,
82,XP_022286128.1,5,NC_035784.1,88441343,88447831,-,111099070,LOC111099070,528,solute carrier family 22 member 4-like,1587,solute carrier family 22 member 4-like,GO:0005575;GO:0022857,,
83,XP_022286129.1,5,NC_035784.1,88441343,88447831,-,111099070,LOC111099070,528,solute carrier family 22 member 4-like,1587,solute carrier family 22 member 4-like,GO:0005575;GO:0022857,,
84,XP_022286130.1,5,NC_035784.1,88441343,88447831,-,111099070,LOC111099070,528,solute carrier family 22 member 4-like,1587,solute carrier family 22 member 4-like,GO:0005575;GO:0022857,,
85,XP_022286131.1,5,NC_035784.1,88441343,88447831,-,111099070,LOC111099070,528,solute carrier family 22 member 4-like,1587,solute carrier family 22 member 4-like,GO:0005575;GO:0022857,,
86,XP_022286132.1,1,NC_035780.1,49197178,49208777,+,111099046,LOC111099046,500,uncharacterized protein LOC111099046 isoform X1,1503,uncharacterized protein LOC111099046 isoform X1,,,
87,XP_022286133.1,5,NC_035784.1,88436595,88440989,+,111099072,LOC111099072,520,solute carrier family 22 member 6-A-like,1563,solute carrier family 22 member 6-A-like,GO:0005575;GO:0022857,,
88,XP_022286134.1,5,NC_035784.1,59201745,59209949,+,111099073,LOC111099073,620,BRCA1-associated protein-like,1863,BRCA1-associated protein-like,GO:0043167,,
89,XP_022286135.1,5,NC_035784.1,75985160,75990795,+,111099074,LOC111099074,213,deleted in malignant brain tumors 1 protein-like,642,deleted in malignant brain tumors 1 protein-like,,,
90,XP_022286136.1,1,NC_035780.1,58960975,58963712,-,111099071,LOC111099071,271,kinesin-related protein 12-like,816,kinesin-related protein 12-like,,,
91,XP_022286137.1,5,NC_035784.1,86787091,86799114,-,111099076,LOC111099076,311,uncharacterized protein LOC111099076 isoform X1,936,uncharacterized protein LOC111099076 isoform X1,,,
92,XP_022286138.1,5,NC_035784.1,86787091,86799122,-,111099076,LOC111099076,299,uncharacterized protein LOC111099076 isoform X2,900,uncharacterized protein LOC111099076 isoform X2,,,
93,XP_022286139.1,5,NC_035784.1,43628152,43629300,-,111099077,LOC111099077,382,uncharacterized protein LOC111099077,1149,uncharacterized protein LOC111099077,GO:0003674,,
94,XP_022286140.1,5,NC_035784.1,581171,585903,-,111099078,LOC111099078,744,uncharacterized protein LOC111099078 isoform X1,2235,uncharacterized protein LOC111099078 isoform X1,GO:0006464;GO:0016301;GO:0043167,,
95,XP_022286141.1,5,NC_035784.1,581171,585903,-,111099078,LOC111099078,744,uncharacterized protein LOC111099078 isoform X1,2235,uncharacterized protein LOC111099078 isoform X1,GO:0006464;GO:0016301;GO:0043167,,
96,XP_022286142.1,5,NC_035784.1,581171,585903,-,111099078,LOC111099078,744,uncharacterized protein LOC111099078 isoform X1,2235,uncharacterized protein LOC111099078 isoform X1,GO:0006464;GO:0016301;GO:0043167,,
97,XP_022286143.1,5,NC_035784.1,581171,585903,-,111099078,LOC111099078,744,uncharacterized protein LOC111099078 isoform X1,2235,uncharacterized protein LOC111099078 isoform X1,GO:0006464;GO:0016301;GO:0043167,,
98,XP_022286144.1,5,NC_035784.1,582551,585903,-,111099078,LOC111099078,400,uncharacterized protein LOC111099078 isoform X2,1203,uncharacterized protein LOC111099078 isoform X2,GO:0006464;GO:0016301;GO:0043167,,
99,XP_022286145.1,5,NC_035784.1,37114334,37124624,+,111099080,LOC111099080,472,PR domain zinc finger protein 14-like,1419,PR domain zinc finger protein 14-like,GO:0003674,,
100,XP_022286146.1,5,NC_035784.1,70196076,70205246,+,111099081,LOC111099081,255,"grpE protein homolog 1, mitochondrial-like isoform X1",768,grpE protein homolog 1%2C mitochondrial-like isoform X1,GO:0006457;GO:0030234,,
101,XP_022286147.1,5,NC_035784.1,70196076,70205246,+,111099081,LOC111099081,228,"grpE protein homolog 1, mitochondrial-like isoform X2",687,grpE protein homolog 1%2C mitochondrial-like isoform X2,GO:0006457;GO:0030234,,
102,XP_022286148.1,1,NC_035780.1,24556516,24568086,+,111099079,LOC111099079,935,speckle targeted PIP5K1A-regulated poly(A) polymerase-like,2808,speckle targeted PIP5K1A-regulated poly(A) polymerase-like,GO:0003729;GO:0005634;GO:0006397;GO:0016779,EC:2.7.7.52,RNA uridylyltransferase
103,XP_022286149.1,5,NC_035784.1,9284819,9286010,+,111099082,LOC111099082,346,putative nuclease HARBI1,1041,putative nuclease HARBI1,,,
104,XP_022286150.1,5,NC_035784.1,9286904,9288214,-,111099083,LOC111099083,241,"myb-related transcription factor, partner of profilin-like",726,myb-related transcription factor%2C partner of profilin-like,GO:0003677;GO:0005634;GO:0008219,,
105,XP_022286151.1,5,NC_035784.1,9318653,9342822,+,111099084,LOC111099084,180,uncharacterized protein LOC111099084 isoform X1,543,uncharacterized protein LOC111099084 isoform X1,,,
106,XP_022286152.1,5,NC_035784.1,9318653,9342822,+,111099084,LOC111099084,152,uncharacterized protein LOC111099084 isoform X2,459,uncharacterized protein LOC111099084 isoform X2,,,
107,XP_022286153.1,5,NC_035784.1,65446809,65471803,+,111099087,LOC111099087,1021,transient receptor potential cation channel subfamily M member 2-like isoform X1,3066,transient receptor potential cation channel subfamily M member 2-like isoform X1,GO:0005575;GO:0022857,,
108,XP_022286154.1,5,NC_035784.1,65446809,65471803,+,111099087,LOC111099087,1020,transient receptor potential cation channel subfamily M member 2-like isoform X2,3063,transient receptor potential cation channel subfamily M member 2-like isoform X2,GO:0005575;GO:0022857,,
109,XP_022286155.1,5,NC_035784.1,65446809,65471803,+,111099087,LOC111099087,970,transient receptor potential cation channel subfamily M member 2-like isoform X3,2913,transient receptor potential cation channel subfamily M member 2-like isoform X3,GO:0005575;GO:0022857,,
110,XP_022286156.1,5,NC_035784.1,65450904,65471803,+,111099087,LOC111099087,859,transient receptor potential cation channel subfamily M member 2-like isoform X4,2580,transient receptor potential cation channel subfamily M member 2-like isoform X4,GO:0005575;GO:0022857,,
111,XP_022286157.1,5,NC_035784.1,39796704,39800600,-,111099090,LOC111099090,415,uncharacterized protein LOC111099090,1248,uncharacterized protein LOC111099090,,,
112,XP_022286158.1,1,NC_035780.1,35845797,35849577,-,111099088,LOC111099088,1198,dentin sialophosphoprotein-like isoform X1,3597,dentin sialophosphoprotein-like isoform X1,,,
113,XP_022286159.1,5,NC_035784.1,39792078,39794959,-,111099091,LOC111099091,394,uncharacterized protein LOC111099091,1185,uncharacterized protein LOC111099091,,,
114,XP_022286160.1,5,NC_035784.1,23517798,23521216,+,111099092,LOC111099092,443,G1/S-specific cyclin-E-like,1332,G1/S-specific cyclin-E-like,GO:0005634,,
115,XP_022286161.1,5,NC_035784.1,32767938,32772425,-,111099093,LOC111099093,387,coiled-coil domain-containing protein 113-like,1164,coiled-coil domain-containing protein 113-like,,,
116,XP_022286162.1,5,NC_035784.1,87335282,87342846,+,111099095,LOC111099095,418,uncharacterized protein LOC111099095,1257,uncharacterized protein LOC111099095,,,
117,XP_022286163.1,5,NC_035784.1,87335282,87342846,+,111099095,LOC111099095,418,uncharacterized protein LOC111099095,1257,uncharacterized protein LOC111099095,,,
118,XP_022286164.1,5,NC_035784.1,96131164,96139546,-,111099096,LOC111099096,337,cysteine-rich venom protein latisemin-like,1014,cysteine-rich venom protein latisemin-like,,,
119,XP_022286165.1,5,NC_035784.1,10004582,10021019,+,111099097,LOC111099097,616,tRNA (uracil-5-)-methyltransferase homolog A-like,1851,tRNA (uracil-5-)-methyltransferase homolog A-like,GO:0008168;GO:0034641,,
120,XP_022286166.1,1,NC_035780.1,35845797,35849577,-,111099088,LOC111099088,980,dentin sialophosphoprotein-like isoform X2,2943,dentin sialophosphoprotein-like isoform X2,,,
121,XP_022286167.1,5,NC_035784.1,10004582,10021019,+,111099097,LOC111099097,616,tRNA (uracil-5-)-methyltransferase homolog A-like,1851,tRNA (uracil-5-)-methyltransferase homolog A-like,GO:0008168;GO:0034641,,
122,XP_022286168.1,5,NC_035784.1,10004582,10021019,+,111099097,LOC111099097,616,tRNA (uracil-5-)-methyltransferase homolog A-like,1851,tRNA (uracil-5-)-methyltransferase homolog A-like,GO:0008168;GO:0034641,,
123,XP_022286169.1,5,NC_035784.1,9989135,9989533,-,111099098,LOC111099098,132,uncharacterized protein LOC111099098,399,uncharacterized protein LOC111099098,GO:0003674;GO:0005576;GO:0007165,,
124,XP_022286170.1,5,NC_035784.1,24244693,24253452,+,111099099,LOC111099099,388,sex peptide receptor-like isoform X1,1167,sex peptide receptor-like isoform X1,GO:0003674;GO:0005575;GO:0007165,,
125,XP_022286171.1,5,NC_035784.1,24250109,24253452,+,111099099,LOC111099099,387,sex peptide receptor-like isoform X2,1164,sex peptide receptor-like isoform X2,GO:0003674;GO:0005575;GO:0007165,,
126,XP_022286172.1,5,NC_035784.1,24252370,24253452,+,111099099,LOC111099099,360,sex peptide receptor-like isoform X3,1083,sex peptide receptor-like isoform X3,GO:0003674;GO:0005575;GO:0007165,,
127,XP_022286173.1,5,NC_035784.1,25234248,25249498,-,111099101,LOC111099101,958,serine/threonine-protein kinase ULK2-like isoform X1,2877,serine/threonine-protein kinase ULK2-like isoform X1,GO:0006464;GO:0006520;GO:0016301;GO:0043167,EC:2.7.11,Transferring phosphorus-containing groups
128,XP_022286174.1,5,NC_035784.1,25234248,25249498,-,111099101,LOC111099101,956,serine/threonine-protein kinase unc-51-like isoform X2,2871,serine/threonine-protein kinase unc-51-like isoform X2,GO:0006464;GO:0006520;GO:0016301;GO:0043167,EC:2.7.11,Transferring phosphorus-containing groups
129,XP_022286175.1,5,NC_035784.1,25234248,25249498,-,111099101,LOC111099101,887,serine/threonine-protein kinase ULK2-like isoform X3,2664,serine/threonine-protein kinase ULK2-like isoform X3,GO:0006464;GO:0006520;GO:0016301;GO:0043167,EC:2.7.11,Transferring phosphorus-containing groups
130,XP_022286176.1,5,NC_035784.1,25160858,25175327,+,111099103,LOC111099103,792,sodium- and chloride-dependent glycine transporter 1-like isoform X1,2379,sodium- and chloride-dependent glycine transporter 1-like isoform X1,GO:0005575;GO:0022857,,
131,XP_022286177.1,5,NC_035784.1,25160858,25175327,+,111099103,LOC111099103,742,sodium- and chloride-dependent glycine transporter 2-like isoform X2,2229,sodium- and chloride-dependent glycine transporter 2-like isoform X2,GO:0005575;GO:0022857,,
132,XP_022286178.1,1,NC_035780.1,18880680,18885426,+,111099102,LOC111099102,411,protein FAM76B-like,1236,protein FAM76B-like,,,
133,XP_022286179.1,5,NC_035784.1,25252398,25261949,+,111099104,LOC111099104,725,"LOW QUALITY PROTEIN: A-kinase anchor protein 1, mitochondrial-like",2175,LOW QUALITY PROTEIN: A-kinase anchor protein 1%2C mitochondrial-like,GO:0003723;GO:0005739;GO:0007165,,
134,XP_022286180.1,5,NC_035784.1,25220833,25228493,+,111099105,LOC111099105,496,"beta-1,3-glucosyltransferase-like",1491,beta-1%2C3-glucosyltransferase-like,GO:0005575;GO:0016757,,
135,XP_022286181.1,5,NC_035784.1,25298306,25301484,-,111099106,LOC111099106,431,exonuclease V-like isoform X1,1296,exonuclease V-like isoform X1,GO:0004518;GO:0006259;GO:0034655,EC:3.1.11;EC:3.1.15,Acting on ester bonds;Acting on ester bonds
